"row ID","Location","MinTemp","MaxTemp","Rainfall","Evaporation","Sunshine","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainToday","RainTomorrow"
"Row48","Albury",13.5,26.7,0,,,"SSE",46,"SSE","E",19,11,45,24,1012.8,1011.1,,,16.7,24.9,"No",0
"Row49","Albury",14.6,29,3,,,"SSE",41,"SE","SSE",26,24,41,21,1023.3,1019.7,,,18,27.6,"Yes",0
"Row50","Albury",12.4,29.2,0,,,"NE",39,"S","NA",7,0,37,18,1022.5,1016.4,,,18.3,28.5,"No",0
"Row51","Albury",17.2,31.1,0,,,"E",35,"SE","ESE",17,11,43,22,1017.7,1013.8,,,21.4,29.5,"No",0
"Row52","Albury",18,32,0,,,"NW",31,"ENE","SW",4,13,44,22,1012.4,1007.5,,,22.1,30.7,"No",0
"Row53","Albury",16.2,34,0,,,"WSW",48,"SE","WSW",4,22,53,16,1007.8,1004.5,,,21,32.7,"No",0
"Row54","Albury",18.7,29.1,0,,,"SSW",41,"NNW","SSE",7,17,45,39,1010.1,1010.8,,,21.5,26.8,"No",0
"Row55","Albury",13.7,31.7,0,,,"SSE",28,"SSE","S",2,9,63,19,1012.5,1010.4,,,19.3,29.8,"No",0
"Row56","Albury",15.5,33.2,0,,,"NW",31,"S","WNW",11,15,49,23,1015.6,1012.4,,,20.9,31.3,"No",0
"Row57","Albury",14.3,34,0,,,"NW",70,"SE","NW",6,22,48,10,1013,1009.2,,,20.7,33.4,"No",0
"Row58","Albury",12.9,29.6,0,,,"WNW",46,"SW","WNW",7,24,54,14,1014,1012.7,6,7,18.7,28.6,"No",0
"Row59","Albury",15,32.7,0,,,"ESE",26,"ESE","S",15,2,43,19,1017.8,1015,,,20.7,30.5,"No",0
"Row60","Albury",15.4,32.6,0,,,"W",24,"NA","S",0,6,53,25,1016.2,1012.6,,,20,30.8,"No",0
"Row61","Albury",12.8,30.3,0,,,"W",30,"W","WSW",4,13,53,27,1010.5,1008.7,,,17.3,28.1,"No",0
"Row62","Albury",13.2,31.9,0,,,"NNW",35,"S","ENE",6,9,53,25,1014.1,1011.6,,,18,29.8,"No",0
"Row63","Albury",18,31.1,0,,,"WNW",52,"NE","NNE",15,26,58,35,1014.7,1009,5,,23,29.2,"No",0
"Row64","Albury",11.5,22,0,,,"SW",50,"WSW","W",19,33,60,33,1013.7,1011.8,,,13.9,21.4,"No",0
"Row65","Albury",7.6,24,0,,,"WSW",30,"NA","WNW",0,13,52,23,1014.5,1012,,,12.6,22,"No",0
"Row66","Albury",8.3,27.9,0,,,"W",37,"S","W",4,20,58,22,1015.2,1012.4,,,13.3,27,"No",0
"Row67","Albury",11,30.2,0,,,"SSE",24,"E","SSE",7,11,54,20,1017,1014.7,,,17.6,28.8,"No",0
"Row68","Albury",13.8,31.8,0,,,"NNE",24,"SSE","NE",6,17,49,28,1019.7,1015.9,,,18.6,30.5,"No",0
"Row69","Albury",18.4,30.5,1.2,,,"NE",44,"NE","N",15,19,57,23,1021.3,1018,,,21.5,29.6,"Yes",0
"Row70","Albury",20.9,25.7,0,,,"W",37,"ENE","S",11,9,52,90,1019.5,1018.9,,8,22.2,18.8,"No",1
"Row71","Albury",17.1,25.8,5.8,,,"ENE",31,"NA","S",0,13,82,68,1017.4,1014.7,8,,19,23.8,"Yes",1
"Row72","Albury",16.4,27,3,,,"SW",69,"E","N",9,22,82,74,1012.7,1008,,4,19.9,19.7,"Yes",1
"Row73","Albury",8.8,21.9,0,,,"W",39,"S","WNW",2,20,78,34,1013.3,1011.6,,6,12.2,20.5,"No",0
"Row74","Albury",8.4,25.3,0,,,"WNW",35,"SSE","WSW",9,17,78,34,1015.6,1013.2,,,12.1,23.9,"No",0
"Row75","Albury",9.3,28,0,,,"NW",52,"SSE","NW",6,11,76,19,1017.4,1013.9,,,14.7,27.2,"No",0
"Row76","Albury",11.3,30.1,0,,,"WSW",24,"S","SW",6,7,56,15,1016.3,1013.6,,,14.7,29.3,"No",0
"Row77","Albury",13.8,33.6,0,,,"NNW",28,"NA","NNE",0,11,47,17,1017,1013.1,,2,18.8,33.5,"No",0
"Row78","Albury",14.6,30,0,,,"NE",37,"E","NNE",4,19,56,30,1014.8,1012.7,3,1,18.1,29,"No",0
"Row79","Albury",14.4,31.6,0,,,"NW",37,"NA","WNW",0,24,63,25,1013.7,1011.8,,,18.8,31.4,"No",0
"Row80","Albury",15.4,22.3,0.4,,,"ENE",30,"SSE","SSE",11,9,69,78,1017.4,1019.2,8,8,18.3,19.6,"No",1
"Row81","Albury",13.3,29.8,1.8,,,"WSW",33,"NA","WNW",0,20,87,26,1019.1,1017.2,,6,16.2,29.2,"Yes",0
"Row82","Albury",10.1,27.6,0,,,"WNW",43,"NA","W",0,11,63,30,1023,1020.7,,,16.5,26.8,"No",0
"Row83","Albury",9.1,28.9,0,,,"NNW",24,"N","N",2,17,60,26,1023.8,1020.6,,,14,27.7,"No",0
"Row84","Albury",10.4,31.2,0,,,"S",22,"NA","SE",0,6,60,18,1022.4,1019.1,,,16,29.9,"No",0
"Row85","Albury",13.4,30.4,0,,,"ENE",22,"NA","SE",0,9,57,16,1023,1019.5,,,17.2,29.2,"No",0
"Row86","Albury",12.3,29.9,0,,,"WSW",26,"S","SSW",2,13,61,25,1023.2,1019.5,,,17.1,28.6,"No",0
"Row87","Albury",12.2,30.6,0,,,"SE",22,"NA","ENE",0,6,59,22,1022.6,1019.4,,,16.6,29.5,"No",0
"Row88","Albury",18.4,28.1,8.6,,,"W",98,"E","NNE",7,17,92,49,1018.8,1012.9,8,6,19,27.4,"Yes",1
"Row89","Albury",7.8,21.7,0,,,"WSW",31,"E","NW",6,19,72,37,1020.4,1016.5,,,12.9,21.2,"No",0
"Row90","Albury",8.1,21.4,0,,,"W",35,"SSE","WSW",13,19,58,20,1021.8,1019.6,,,13.8,20.9,"No",0
"Row91","Albury",7.5,22.5,0,,,"SE",28,"S","S",7,7,55,27,1026.7,1023.5,,,13.3,21.6,"No",0
"Row92","Albury",8.2,24,0,,,"SSE",17,"SSE","SSE",7,13,60,30,1027.1,1023.4,,,13.8,23.5,"No",0
"Row93","Albury",8.1,25.7,0,,,"ENE",22,"ESE","S",9,13,67,27,1024.2,1019.6,,,15.1,25,"No",0
"Row94","Albury",11.6,26.7,0,,,"W",48,"SE","NE",6,11,59,42,1021.5,1017.7,8,7,16.4,24.3,"No",1
"Row95","Albury",13,24.9,8.4,,,"W",46,"S","E",6,11,75,47,1024.4,1020.3,8,6,18,24.4,"Yes",1
"Row96","Albury",9.9,25.4,0,,,"NNE",19,"ENE","SSW",4,7,65,35,1023,1018.7,,,16.1,25,"No",0
"Row97","Albury",12.2,25,0,,,"WNW",30,"NA","W",0,15,68,39,1016.3,1011.6,6,,16.2,24.6,"No",0
"Row98","Albury",3.5,20,0,,,"W",31,"NA","WNW",0,13,65,30,1016.3,1012.8,,,9.6,19.4,"No",0
"Row99","Albury",6.6,21.6,0,,,"WNW",26,"ENE","W",6,11,59,39,1018.5,1016.8,5,1,12.6,21.6,"No",0
"Row100","Albury",11.2,23.9,0,,,"SE",31,"SE","SE",13,15,54,33,1022.7,1019.6,,,18,23.6,"No",0
"Row101","Albury",7.4,22,0,,,"SSE",28,"SE","SE",2,7,58,29,1023.6,1020,,,14.1,21.3,"No",0
"Row102","Albury",5.7,21.4,0,,,"ESE",17,"ENE","SSE",6,7,68,39,1025.2,1020.9,,,12.2,20.9,"No",0
"Row103","Albury",6,22.9,0,,,"NE",33,"NA","NE",0,20,68,34,1021.3,1015.7,,,12.9,22.6,"No",0
"Row104","Albury",10.6,16.2,0,,,"WNW",39,"ESE","NNE",7,4,74,86,1008.9,1002.4,8,8,14.9,15.1,"No",1
"Row105","Albury",12.9,15.8,20,,,"W",70,"WNW","NNW",19,15,83,89,1004.8,1000.9,8,8,13.3,14.5,"Yes",1
"Row106","Albury",8.6,12.9,21,,,"NNW",63,"NW","WNW",26,31,77,62,1004,1003.3,8,8,9.5,11.6,"Yes",1
"Row107","Albury",4.5,11.5,3.2,,,"NW",26,"N","NNW",9,13,82,79,1013.8,1013.5,8,8,7.6,9.4,"Yes",1
"Row108","Albury",7.6,14.5,4.8,,,"WNW",35,"W","W",15,20,83,48,1018,1018.3,8,1,10.1,14,"Yes",0
"Row109","Albury",5.4,12.2,0,,,"SSE",19,"SE","SSE",9,7,62,46,1023.1,1020.9,,8,8.2,12.1,"No",0
"Row110","Albury",2.1,16.5,0,,,"SW",19,"NA","SW",0,7,70,38,1023.4,1021.5,,,7.9,16.1,"No",0
"Row111","Albury",7.2,19.2,0,,,"SW",22,"ENE","W",7,6,81,49,1026.9,1024,8,4,10.1,19.1,"No",0
"Row112","Albury",4.6,18.9,0,,,"S",15,"N","SSE",4,7,75,51,1028.7,1025.9,,,10.6,18.5,"No",0
"Row113","Albury",4.2,19.1,0,,,"W",19,"ENE","WSW",6,13,86,44,1029.8,1027.3,,,9.6,18.8,"No",0
"Row114","Albury",5.2,18.8,0,,,"ESE",15,"NA","SE",0,7,71,47,1031.4,1028.1,,,10.3,18.4,"No",0
"Row115","Albury",4.1,19.3,0,,,"SW",20,"ENE","WNW",6,7,82,49,1028.5,1024.6,,,10,19.2,"No",0
"Row116","Albury",4.3,19,0,,,"W",15,"NA","W",0,9,68,36,1028.8,1025.8,,,11,18.5,"No",0
"Row117","Albury",3.7,20.5,0,,,"W",17,"NA","WSW",0,7,78,45,1026,1021.8,,,9.4,20.2,"No",0
"Row118","Albury",5.4,19.5,0,,,"SE",17,"NA","SE",0,7,69,40,1025.1,1022.3,,,11.7,19.1,"No",0
"Row119","Albury",4.3,17.7,0,,,"ESE",15,"NNW","S",6,7,89,53,1025.6,1022.2,8,,8.5,17.7,"No",0
"Row120","Albury",3.6,18.5,0,,,"W",26,"ENE","WNW",4,17,81,49,1022.3,1018.5,,,9.1,18,"No",0
"Row121","Albury",3.6,15.1,0,,,"WNW",28,"SE","W",4,17,86,61,1018.4,1015.7,,8,7.5,14.6,"No",0
"Row122","Albury",10.3,16.6,0,,,"WNW",54,"NW","NW",13,19,82,63,1015,1011,8,7,12.9,15.9,"No",1
"Row123","Albury",3,15.6,0,,,"W",20,"E","E",6,9,83,61,1022.5,1019.3,4,,7,14.7,"No",0
"Row124","Albury",2.6,19.7,0,,,"E",13,"NA","ENE",0,4,82,34,1024.7,1021.2,,,8.8,18.7,"No",0
"Row125","Albury",5.1,18.6,0,,,"E",13,"SSE","ENE",2,9,75,57,1022.8,1020.5,7,7,12.4,18,"No",0
"Row126","Albury",4.4,19.8,0,,,"SE",20,"NA","SE",0,7,81,48,1025.2,1022.3,,,9.4,19.1,"No",0
"Row127","Albury",4.7,19.8,0,,,"SE",24,"S","SE",4,19,75,43,1025.2,1021.4,,,10.1,19.6,"No",0
"Row128","Albury",6.2,22.9,0,,,"E",30,"NE","SE",6,9,71,37,1022.2,1019.4,,,11.9,21.7,"No",0
"Row129","Albury",11.6,18.1,4.2,,,"E",19,"E","SSE",2,6,97,74,1021.4,1019.2,8,3,13.6,17.4,"Yes",0
"Row130","Albury",8,16.2,0.8,,,"W",20,"NA","WSW",0,11,99,58,1021.7,1019.3,8,,10.1,15.6,"No",0
"Row131","Albury",2.6,15.7,0,,,"SSE",13,"NA","S",0,2,91,48,1023.4,1021.6,,,7.1,15.3,"No",0
"Row132","Albury",2.2,16.5,0,,,"ESE",33,"NA","SE",0,19,67,44,1025.6,1024,,,10.2,15.9,"No",0
"Row133","Albury",2.2,16.8,0,,,"SE",26,"NA","SE",0,15,65,44,1030.3,1028.5,,,9.6,16.7,"No",0
"Row134","Albury",8.4,13.4,1.4,,,"SE",13,"NA","ESE",0,7,78,75,1029.3,1026.2,8,8,10.6,13.4,"Yes",1
"Row135","Albury",8.9,17.4,8,,,"ENE",13,"NW","E",2,4,99,58,1021,1017.5,8,7,11.3,16.5,"Yes",0
"Row136","Albury",2.8,16.1,0,,,"W",20,"NNE","W",4,11,86,57,1017.9,1015.1,,,7.6,15.6,"No",0
"Row137","Albury",1.7,10.5,0.2,,,"ESE",11,"E","NA",4,0,99,91,1015.2,1011.1,8,8,4.7,10.2,"No",1
"Row138","Albury",4.7,11.6,14.4,,,"NNW",30,"NNW","NNW",6,17,93,80,1007.5,1006.3,8,8,10,11.5,"Yes",1
"Row139","Albury",9,12,4.6,,,"WNW",33,"WNW","WNW",9,26,88,79,1009.6,1008.7,8,8,10.3,11.4,"Yes",1
"Row140","Albury",6.3,8.8,2,,,"W",43,"NNW","WNW",13,13,92,95,1011.1,1008.3,8,8,6.8,7.9,"Yes",1
"Row141","Albury",3,10.5,5.6,,,"WNW",37,"W","WSW",15,22,77,56,1017.6,1018.4,,4,4.9,9.7,"Yes",0
"Row142","Albury",-2,9.6,0,,,"SE",13,"NA","ESE",0,6,84,72,1025.1,1023,,1,2.2,8.8,"No",0
"Row143","Albury",-1.3,8.2,0,,,"ESE",15,"E","SSE",6,6,99,72,1025.7,1022.2,8,7,1.9,7.9,"No",0
"Row144","Albury",1.8,12.4,0,,,"ENE",28,"E","NE",4,15,86,60,1018.3,1013,,4,5.9,12.1,"No",0
"Row145","Albury",2,15.8,0,,,"NNE",24,"NA","NE",0,11,82,49,1011.8,1009.3,,,6.5,15.5,"No",0
"Row146","Albury",0.5,14.9,0.4,,,"ESE",13,"NNE","NA",2,0,99,63,1013.9,1012.8,,,5.4,13.9,"No",0
"Row147","Albury",1.2,17.7,0,,,"SE",17,"NA","ESE",0,6,83,49,1022.3,1022.2,,,6.6,15.4,"No",0
"Row148","Albury",0.6,15.9,0,,,"WSW",13,"NA","W",0,2,94,52,1029.7,1027.7,,,5.6,14.9,"No",0
"Row149","Albury",0.5,14.7,0,,,"N",11,"N","NA",6,0,99,63,1031.6,1028.6,8,,4.7,14.5,"No",0
"Row150","Albury",0.5,15.3,0,,,"ESE",13,"NE","SE",6,6,93,56,1030.8,1027.1,,,5.4,15.1,"No",0
"Row151","Albury",0.9,17.3,0,,,"NNE",28,"NE","NE",4,17,85,56,1025.7,1020.6,7,8,7,16.7,"No",1
"Row152","Albury",7,17,1.6,,,"ENE",46,"NW","ENE",4,20,99,71,1021.9,1018.6,1,1,8.3,16.4,"Yes",1
"Row153","Albury",5,14.9,5.6,,,"SE",19,"SE","ENE",4,6,99,78,1020.7,1018.6,1,8,9.1,13.6,"Yes",0
"Row154","Albury",3.9,15.5,0,,,"W",35,"ENE","SSE",11,7,99,70,1020.2,1016.4,8,6,8.3,15.2,"No",1
"Row155","Albury",7.7,14.1,6,,,"ESE",41,"ESE","SE",7,9,81,65,1014.9,1012.7,8,5,9.6,13.7,"Yes",0
"Row156","Albury",8.4,11.9,0,,,"SSE",22,"SE","SE",7,6,79,81,1007.8,1005.5,8,8,10.3,11.3,"No",1
"Row157","Albury",9.3,12.3,5.4,,,"W",22,"WSW","NNW",9,11,98,76,1007.5,1006.6,7,8,9.8,12.3,"Yes",1
"Row158","Albury",8.2,15.7,3.6,,,"NE",26,"NE","NNE",9,15,91,69,1011.4,1009.4,8,8,10.1,15.6,"Yes",1
"Row159","Albury",9.1,16.1,2,,,"NW",72,"NE","NE",11,19,78,73,1007.6,1001,8,8,13.5,15.3,"Yes",1
"Row160","Albury",8.3,13.3,8.4,,,"NW",52,"N","NW",20,22,85,68,1006.5,1005.2,8,5,9.5,13.1,"Yes",1
"Row161","Albury",8.8,11.6,5,,,"WNW",54,"NW","WNW",19,19,88,74,1009.4,1006.8,8,4,8.8,11.4,"Yes",1
"Row162","Albury",7.6,12,7.8,,,"W",61,"W","WSW",17,22,82,62,1008.6,1009.6,8,1,7.8,11.7,"Yes",0
"Row163","Albury",5.7,13.2,0,,,"WNW",39,"WNW","WNW",15,24,91,76,1016.3,1014.9,8,8,7.9,12.6,"No",0
"Row164","Albury",0,12.1,0,,,"ENE",19,"NNE","WSW",7,7,99,65,1022.4,1020.4,8,,2.3,11.4,"No",0
"Row165","Albury",0.1,13.5,0,,,"E",13,"NA","SSE",0,9,93,62,1028.7,1023.8,,,4.8,13.4,"No",0
"Row166","Albury",5.9,13.1,1,,,"WNW",41,"N","NNW",13,11,82,73,1007.6,1005.5,8,8,9,12.3,"No",1
"Row167","Albury",6.9,11,6.8,,,"W",30,"N","SSW",9,9,94,75,1006.6,1005.8,8,8,7.5,10.1,"Yes",1
"Row168","Albury",-0.3,14.4,0.2,,,"N",17,"NNE","SW",4,6,88,52,1022.4,1020.6,,,4.5,14.2,"No",0
"Row169","Albury",-1,12,0,,,"N",20,"NA","N",0,11,98,64,1023,1019.5,7,5,3.2,11.2,"No",0
"Row170","Albury",3.2,14.1,0.6,,,"NNE",24,"ESE","NE",7,11,94,65,1021.6,1019.8,8,8,7.8,13.5,"No",0
"Row171","Albury",0.8,17.7,0,,,"N",43,"ENE","ENE",4,17,87,46,1019.7,1013.4,,,6.6,17.6,"No",0
"Row172","Albury",6,13.5,9.8,,,"WNW",26,"W","W",13,17,83,58,1015.1,1018.4,7,7,8.5,12.9,"Yes",0
"Row173","Albury",-0.1,12.9,0,,,"NW",22,"NA","NNW",0,15,87,58,1027.3,1025.4,,2,3.7,11.6,"No",0
"Row174","Albury",-0.3,12.2,0,,,"NE",20,"NA","NE",0,9,95,61,1026.8,1022.7,,,2.5,10.8,"No",0
"Row175","Albury",2.1,9.8,0,,,"SSE",13,"NA","E",0,2,85,74,1018,1013.7,5,,4.4,9.6,"No",0
"Row176","Albury",1.3,8.8,0,,,"N",20,"ENE","NNW",6,9,99,91,1019.9,1019.9,8,8,4.2,7.3,"No",1
"Row177","Albury",8.3,13.2,2.4,,,"WNW",24,"NW","WSW",11,9,98,81,1026,1025.4,8,8,9.3,12.1,"Yes",0
"Row178","Albury",6.5,14.5,5.2,,,"W",35,"W","WSW",19,22,81,61,1021.3,1021.5,5,8,11.6,12.7,"Yes",0
"Row179","Albury",7.4,13.9,0.2,,,"W",30,"NA","WNW",0,15,99,70,1026.8,1025.3,7,3,8.9,13.3,"No",0
"Row180","Albury",7.5,14.1,0.8,,,"NNW",30,"SW","NNW",2,17,94,65,1027.9,1024.8,1,6,10.5,13.3,"No",0
"Row181","Albury",8.3,13.8,0.8,,,"NNW",37,"W","WNW",20,15,79,49,1023.1,1022.9,,,9.9,13.6,"No",0
"Row182","Albury",3.2,14.7,0,,,"SSE",17,"NA","ENE",0,4,91,53,1021.7,1018.9,1,,5.7,14,"No",1
"Row183","Albury",5.7,13.8,5.4,,,"NNE",19,"ENE","S",7,7,98,76,1022.2,1020.2,8,8,8.9,13.6,"Yes",0
"Row184","Albury",5.1,17.1,0.4,,,"N",35,"NA","NE",0,19,99,58,1021.9,1016.7,7,,8,16.6,"No",0
"Row185","Albury",8,13.9,0.8,,,"WNW",57,"WNW","WSW",35,33,79,47,1012.8,1015.6,8,8,9.8,13.7,"No",1
"Row186","Albury",-1,12.2,0,,,"ESE",15,"S","E",2,7,91,48,1021.6,1018.5,,,2,12.1,"No",0
"Row187","Albury",5.9,17.7,0.4,,,"NNE",43,"E","NNW",19,22,62,59,1009,1008.6,1,1,14.8,15.6,"No",1
"Row188","Albury",6.9,14.3,4.8,,,"W",24,"SSE","NW",6,13,99,74,1011.5,1010,8,8,9.1,13,"Yes",0
"Row189","Albury",7.7,11.6,0.2,,,"NW",22,"NW","N",6,13,94,87,1015.7,1015.3,8,7,9.4,11.1,"No",1
"Row190","Albury",6.8,15.2,1.2,,,"WSW",22,"NA","WNW",0,13,99,61,1021.1,1019.1,8,,9,14.7,"Yes",0
"Row191","Albury",5.1,15.5,1.6,,,"W",39,"NE","ENE",11,11,79,70,1012.2,1006.4,8,8,11,14.3,"Yes",1
"Row192","Albury",4.2,13.6,3.2,,,"WNW",37,"W","WNW",20,19,73,57,1018.2,1019.7,1,,9.8,12.8,"Yes",0
"Row193","Albury",1.6,16.4,0,,,"E",17,"NE","S",7,7,99,61,1027.7,1022.5,8,1,5.5,15.2,"No",0
"Row194","Albury",5.5,18.4,0,,,"N",22,"ESE","N",6,13,78,51,1019.7,1014.3,,,11.1,17.3,"No",0
"Row195","Albury",7.3,14.8,1,,,"WNW",59,"NNE","WSW",26,30,72,85,1004,1001.7,3,8,13.3,10.1,"No",1
"Row196","Albury",0.2,14.1,6.6,,,"NE",26,"SE","NNE",9,13,90,57,1012,1009.6,,,5.8,12.9,"Yes",1
"Row197","Albury",5.8,18.9,3.8,,,"NNE",26,"ENE","NNE",7,11,94,67,1011.5,1007.1,3,3,10.8,18.2,"Yes",1
"Row198","Albury",7.1,12.8,2,,,"W",85,"W","NW",15,20,75,53,1009.6,1008.2,3,,7.7,11.7,"Yes",1
"Row199","Albury",4.2,14.4,3.6,,,"NW",43,"NNW","NW",13,30,83,56,1016.1,1014.4,,8,6.9,13.6,"Yes",0
